DayDate,Cupressaceae,Urticaceae,MIXED
2016-02-01,2.4801587301587302,0.0,2.4801587301587302
2016-02-02,1.4880952380952381,0.0,1.4880952380952381
2016-02-03,3.4722222222222228,0.0,3.4722222222222228
2016-02-04,5.4563492063492065,0.0,5.4563492063492065
2016-02-05,7.44047619047619,0.0,7.44047619047619
2016-02-06,4.96031746031746,0.0,4.96031746031746
2016-02-07,3.9682539682539684,0.0,3.9682539682539684
2016-02-08,6.448412698412699,0.0,6.448412698412699
2016-02-09,25.793650793650794,0.0,25.793650793650794
2016-02-10,312.5,0.0,312.5
2016-02-11,386.4087301587301,0.49603174603174605,386.90476190476187
2016-02-12,54.06746031746032,0.49603174603174605,54.56349206349207
2016-02-13,26.785714285714292,0.0,26.785714285714292
2016-02-14,15.376984126984128,0.0,15.376984126984128
2016-02-15,335.31746031746036,0.9920634920634921,336.30952380952385
2016-02-16,105.65476190476193,2.9761904761904763,108.63095238095241
2016-02-17,118.05555555555556,1.4880952380952381,119.5436507936508
2016-02-18,1057.5396825396824,0.49603174603174605,1058.0357142857142
2016-02-19,139.88095238095238,4.464285714285714,144.3452380952381
2016-02-20,376.984126984127,0.9920634920634921,377.9761904761905
2016-02-21,112.10317460317462,0.0,112.10317460317462
2016-02-22,143.35317460317458,0.49603174603174605,143.84920634920633
2016-02-23,76.38888888888889,0.0,76.38888888888889
2016-02-24,635.9126984126984,0.0,635.9126984126984
2016-02-25,479.1666666666667,3.4722222222222228,482.6388888888889
2016-02-26,272.3214285714286,2.4801587301587302,274.80158730158735
2016-02-27,39.18650793650794,0.0,39.18650793650794
2016-02-28,211.80555555555557,0.0,211.80555555555557
2016-02-29,368.0555555555555,5.4563492063492065,373.5119047619047
2016-03-01,230.6547619047619,1.9841269841269842,232.63888888888889
2016-03-02,192.95634920634916,3.9682539682539684,196.92460317460313
2016-03-03,188.4920634920635,3.9682539682539684,192.46031746031747
2016-03-04,64.98015873015872,0.49603174603174605,65.47619047619047
2016-03-05,98.71031746031747,0.9920634920634921,99.70238095238096
2016-03-06,33.23412698412699,2.9761904761904763,36.21031746031746
2016-03-07,32.80555555555555,1.4880952380952381,34.29365079365079
2016-03-08,1.4880952380952381,0.0,1.4880952380952381
2016-03-09,18.84920634920635,1.4880952380952381,20.33730158730159
2016-03-10,3.4722222222222228,0.49603174603174605,3.968253968253969
2016-03-11,19.345238095238095,3.4722222222222228,22.817460317460316
2016-03-12,16.36904761904762,0.0,16.36904761904762
2016-03-13,12.896825396825397,1.9841269841269842,14.880952380952381
2016-03-14,3.4722222222222228,0.49603174603174605,3.968253968253969
2016-03-15,1.9841269841269842,0.49603174603174605,2.4801587301587302
2016-03-16,6.944444444444444,1.4880952380952381,8.432539682539682
2016-03-17,1.4880952380952381,4.9603174603174605,6.448412698412699
2016-03-18,4.464285714285714,6.9444444444444455,11.40873015873016
2016-03-19,76.3888888888889,7.936507936507937,84.32539682539684
2016-03-20,37.6984126984127,12.40079365079365,50.099206349206355
2016-03-21,36.706349206349195,13.888888888888891,50.59523809523809
2016-03-22,123.015873015873,17.857142857142858,140.87301587301585
2016-03-23,226.19047619047615,6.944444444444444,233.1349206349206
2016-03-24,40.17857142857142,8.928571428571429,49.107142857142854
2016-03-25,0.0,5.9523809523809526,5.9523809523809526
2016-03-26,0.49603174603174605,3.9682539682539684,4.464285714285714
2016-03-27,2.9761904761904763,2.4801587301587302,5.4563492063492065
2016-03-28,4.96031746031746,10.912698412698413,15.873015873015873
2016-03-29,6.448412698412699,50.099206349206355,56.54761904761905
2016-03-30,11.408730158730158,32.242063492063494,43.65079365079365
2016-03-31,52.57936507936508,51.58730158730159,104.16666666666667
2016-04-01,26.78571428571429,36.21031746031746,62.99603174603175
2016-04-02,58.035714285714285,87.3015873015873,145.3373015873016
2016-04-03,43.650793650793645,97.22222222222221,140.87301587301585
2016-04-04,26.78571428571429,112.59920634920634,139.38492063492063
2016-04-05,57.04365079365079,576.3888888888888,633.4325396825396
2016-04-06,100.69444444444446,686.0119047619047,786.7063492063492
2016-04-07,36.706349206349195,397.81746031746025,434.52380952380946
2016-04-08,42.16269841269841,313.4920634920635,355.6547619047619
2016-04-09,23.809523809523807,279.76190476190476,303.57142857142856
2016-04-10,14.88095238095238,319.4444444444444,334.32539682539675
2016-04-11,78.8690476190476,168.65079365079364,247.51984126984127
2016-04-12,72.91666666666669,280.25793650793645,353.17460317460313
2016-04-13,92.75793650793652,166.1706349206349,258.92857142857144
2016-04-14,75.3968253968254,187.99603174603172,263.3928571428571
2016-04-15,29.265873015873012,80.35714285714285,109.62301587301586
2016-04-16,35.714285714285715,52.57936507936508,88.2936507936508
2016-04-17,38.19444444444445,56.0515873015873,94.24603174603175
2016-04-18,23.80952380952381,51.09126984126984,74.90079365079364
2016-04-19,16.36904761904762,69.44444444444446,85.81349206349208
2016-04-20,40.67460317460317,56.547619047619044,97.22222222222221
2016-04-21,34.72222222222222,21.32936507936508,56.051587301587304
2016-04-22,24.801587301587304,23.313492063492063,48.11507936507937
2016-04-23,40.17857142857142,23.809523809523814,63.98809523809524
2016-04-24,7.44047619047619,8.928571428571429,16.36904761904762
2016-04-25,3.4722222222222228,15.376984126984127,18.849206349206348
2016-04-26,8.432539682539682,25.793650793650798,34.22619047619048
2016-04-27,6.448412698412697,8.928571428571429,15.376984126984127
2016-04-28,4.9603174603174605,9.424603174603176,14.384920634920636
2016-04-29,2.4801587301587302,17.857142857142858,20.33730158730159
2016-04-30,2.4801587301587302,5.9523809523809526,8.432539682539684
2016-05-01,3.4722222222222228,11.408730158730158,14.880952380952381
2016-05-02,1.4880952380952381,11.904761904761905,13.392857142857142
2016-05-03,0.49603174603174605,17.36111111111111,17.857142857142858
2016-05-04,0.49603174603174605,7.440476190476191,7.936507936507937
2016-05-05,0.0,7.936507936507937,7.936507936507937
2016-05-06,0.0,4.96031746031746,4.96031746031746
2016-05-07,0.0,4.9603174603174605,4.9603174603174605
2016-05-08,0.0,3.9682539682539684,3.9682539682539684
2016-05-09,1.4880952380952381,19.841269841269842,21.32936507936508
